Order ID,Time Accepted,Number of Small Pizzas,Number of Medium Pizzas,Number of Large Pizzas,Total Pizzas,IDs for Dough,IDs for Sauce,IDs for Toppings,Time Collected

0,03:40:01,2,2,1,5,"['D-1652409586.959915', 'D-1652409586.960053', 'D-1652409586.96012', 'D-1652409586.960177', 'D-1652409586.960232', 'D-1652409586.960286', 'D-1652409586.9603388', 'D-1652409586.960392', 'D-1652409586.960444', 'D-1652409586.9604962', 'D-1652409586.960549', 'D-1652409586.960601', 'D-1652409586.960653', 'D-1652409586.960706', 'D-1652409586.960757', 'D-1652409586.96081', 'D-1652409586.960873', 'D-1652409586.960927', 'D-1652409586.96098', 'D-1652409586.961031', 'D-1652409586.961083', 'D-1652409586.9611342', 'D-1652409586.961241', 'D-1652409586.9613178', 'D-1652409586.96138', 'D-1652409586.961437', 'D-1652409586.961531', 'D-1652409586.9615848', 'D-1652409586.961639']","['S-1652409586.97085', 'S-1652409586.970908', 'S-1652409586.9709618', 'S-1652409586.971015', 'S-1652409586.9710689', 'S-1652409586.971122', 'S-1652409586.971175', 'S-1652409586.971228', 'S-1652409586.9712992', 'S-1652409586.97136', 'S-1652409586.971414', 'S-1652409586.971467', 'S-1652409586.971519', 'S-1652409586.971572', 'S-1652409586.9716249', 'S-1652409586.9716768', 'S-1652409586.97173', 'S-1652409586.971782', 'S-1652409586.9718342', 'S-1652409586.971887', 'S-1652409586.971939', 'S-1652409586.971992', 'S-1652409586.972044', 'S-1652409586.972096', 'S-1652409586.972149', 'S-1652409586.9722009', 'S-1652409586.9722528', 'S-1652409586.9723048', 'S-1652409586.972358']","['T-1652409586.9925408', 'T-1652409586.992598', 'T-1652409586.9926531', 'T-1652409586.992705', 'T-1652409586.992757', 'T-1652409586.992809', 'T-1652409586.9928598', 'T-1652409586.9929118', 'T-1652409586.992964', 'T-1652409586.993016', 'T-1652409586.993067', 'T-1652409586.99312', 'T-1652409586.993171', 'T-1652409586.993223', 'T-1652409586.993275', 'T-1652409586.9933271', 'T-1652409586.9933782', 'T-1652409586.993431', 'T-1652409586.993483', 'T-1652409586.9935338']",03:40:02
2,03:40:02,0,1,2,3,"['D-1652409586.962508', 'D-1652409586.96256', 'D-1652409586.962612', 'D-1652409586.9626648', 'D-1652409586.9627168', 'D-1652409586.9627688', 'D-1652409586.96282', 'D-1652409586.962873', 'D-1652409586.962925', 'D-1652409586.962977', 'D-1652409586.96303', 'D-1652409586.963083', 'D-1652409586.963136', 'D-1652409586.963189', 'D-1652409586.9632409', 'D-1652409586.963292', 'D-1652409586.9633439', 'D-1652409586.963396', 'D-1652409586.963448', 'D-1652409586.963501', 'D-1652409586.963553', 'D-1652409586.963604', 'D-1652409586.963657', 'D-1652409586.9637089']","['S-1652409586.973384', 'S-1652409586.9734368', 'S-1652409586.9734888', 'S-1652409586.973542', 'S-1652409586.973595', 'S-1652409586.973647', 'S-1652409586.9737', 'S-1652409586.973753', 'S-1652409586.973805', 'S-1652409586.973858', 'S-1652409586.973912', 'S-1652409586.9739652', 'S-1652409586.974018', 'S-1652409586.97407', 'S-1652409586.974123', 'S-1652409586.974176', 'S-1652409586.974229', 'S-1652409586.974282', 'S-1652409586.974334', 'S-1652409586.974387', 'S-1652409586.9744399', 'S-1652409586.9744918', 'S-1652409586.9745438', 'S-1652409586.9745972']","['T-1652409586.9938939', 'T-1652409586.993948', 'T-1652409586.993999', 'T-1652409586.994051', 'T-1652409586.994103', 'T-1652409586.994155']",03:40:02
1,03:40:02,0,1,1,2,"['D-1652409586.9616919', 'D-1652409586.9617448', 'D-1652409586.961798', 'D-1652409586.9618502', 'D-1652409586.961903', 'D-1652409586.961956', 'D-1652409586.9620092', 'D-1652409586.9620621', 'D-1652409586.9621198', 'D-1652409586.962173', 'D-1652409586.962231', 'D-1652409586.9622889', 'D-1652409586.962347', 'D-1652409586.962402', 'D-1652409586.962455']","['S-1652409586.972411', 'S-1652409586.972521', 'S-1652409586.972615', 'S-1652409586.9726982', 'S-1652409586.972779', 'S-1652409586.972843', 'S-1652409586.972899', 'S-1652409586.9729521', 'S-1652409586.973006', 'S-1652409586.9730601', 'S-1652409586.973113', 'S-1652409586.973165', 'S-1652409586.973218', 'S-1652409586.973278', 'S-1652409586.973332']","['T-1652409586.9935858', 'T-1652409586.993637', 'T-1652409586.993689', 'T-1652409586.993741', 'T-1652409586.993792', 'T-1652409586.9938428']",03:40:02
3,03:40:02,1,1,0,2,"['D-1652409586.9637601', 'D-1652409586.963813', 'D-1652409586.963865', 'D-1652409586.963916', 'D-1652409586.963968', 'D-1652409586.964021', 'D-1652409586.964074', 'D-1652409586.9641259', 'D-1652409586.9641778', 'D-1652409586.9642298']","['S-1652409586.9746492', 'S-1652409586.9747012', 'S-1652409586.974754', 'S-1652409586.974806', 'S-1652409586.974858', 'S-1652409586.974911', 'S-1652409586.974964', 'S-1652409586.9750159', 'S-1652409586.9750679', 'S-1652409586.9751198']","['T-1652409586.994207', 'T-1652409586.994258', 'T-1652409586.9943109', 'T-1652409586.994362', 'T-1652409586.994455', 'T-1652409586.994547', 'T-1652409586.9946198', 'T-1652409586.994677', 'T-1652409586.9947321', 'T-1652409586.994786']",03:40:03
4,03:40:03,0,1,2,3,"['D-1652409586.964281', 'D-1652409586.964333', 'D-1652409586.964386', 'D-1652409586.964437', 'D-1652409586.96449', 'D-1652409586.9645429', 'D-1652409586.9645948', 'D-1652409586.9646468', 'D-1652409586.9646988', 'D-1652409586.964751', 'D-1652409586.964803', 'D-1652409586.964855', 'D-1652409586.964913', 'D-1652409586.9649699', 'D-1652409586.9650218', 'D-1652409586.9650738', 'D-1652409586.9651258', 'D-1652409586.965178', 'D-1652409586.965229', 'D-1652409586.9652858', 'D-1652409586.9653382', 'D-1652409586.96539', 'D-1652409586.965442', 'D-1652409586.965494']","['S-1652409586.9751732', 'S-1652409586.975225', 'S-1652409586.9752781', 'S-1652409586.975331', 'S-1652409586.975384', 'S-1652409586.9754372', 'S-1652409586.97549', 'S-1652409586.975543', 'S-1652409586.975596', 'S-1652409586.975649', 'S-1652409586.975701', 'S-1652409586.975753', 'S-1652409586.975805', 'S-1652409586.9758568', 'S-1652409586.9759092', 'S-1652409586.975961', 'S-1652409586.976018', 'S-1652409586.976071', 'S-1652409586.9761238', 'S-1652409586.976176', 'S-1652409586.9762292', 'S-1652409586.97628', 'S-1652409586.976374', 'S-1652409586.976427']","['T-1652409586.994839', 'T-1652409586.9948921', 'T-1652409586.994945', 'T-1652409586.994998', 'T-1652409586.995051', 'T-1652409586.995103']",03:40:04
5,03:40:03,1,0,2,3,"['D-1652409586.965546', 'D-1652409586.9655979', 'D-1652409586.9656498', 'D-1652409586.965703', 'D-1652409586.965754', 'D-1652409586.9658072', 'D-1652409586.9658601', 'D-1652409586.965913', 'D-1652409586.965965', 'D-1652409586.966017', 'D-1652409586.966069', 'D-1652409586.966121', 'D-1652409586.966173', 'D-1652409586.966228', 'D-1652409586.966282', 'D-1652409586.966333', 'D-1652409586.966385', 'D-1652409586.9664378', 'D-1652409586.966489', 'D-1652409586.966541', 'D-1652409586.966593', 'D-1652409586.966645']","['S-1652409586.97648', 'S-1652409586.976531', 'S-1652409586.976584', 'S-1652409586.976636', 'S-1652409586.9766889', 'S-1652409586.976741', 'S-1652409586.976792', 'S-1652409586.976845', 'S-1652409586.976897', 'S-1652409586.976949', 'S-1652409586.977', 'S-1652409586.977052', 'S-1652409586.977104', 'S-1652409586.977157', 'S-1652409586.977209', 'S-1652409586.97726', 'S-1652409586.977312', 'S-1652409586.9773629', 'S-1652409586.9774148', 'S-1652409586.977474', 'S-1652409586.977528', 'S-1652409586.97758']","['T-1652409586.995156', 'T-1652409586.995208', 'T-1652409586.99526', 'T-1652409586.99532']",03:40:04
6,03:40:04,2,2,1,5,"['D-1652409586.966697', 'D-1652409586.966749', 'D-1652409586.966801', 'D-1652409586.9668522', 'D-1652409586.966905', 'D-1652409586.9669561', 'D-1652409586.967008', 'D-1652409586.967059', 'D-1652409586.9671261', 'D-1652409586.967216', 'D-1652409586.9672902', 'D-1652409586.967347', 'D-1652409586.967406', 'D-1652409586.9674602', 'D-1652409586.967513', 'D-1652409586.967566', 'D-1652409586.967624', 'D-1652409586.9676769', 'D-1652409586.9677289', 'D-1652409586.967783', 'D-1652409586.967836', 'D-1652409586.9678879', 'D-1652409586.967941', 'D-1652409586.967993', 'D-1652409586.968045', 'D-1652409586.968097', 'D-1652409586.968149', 'D-1652409586.968201', 'D-1652409586.968253']","['S-1652409586.977633', 'S-1652409586.977684', 'S-1652409586.9777348', 'S-1652409586.9777868', 'S-1652409586.977839', 'S-1652409586.97789', 'S-1652409586.977942', 'S-1652409586.977993', 'S-1652409586.9780438', 'S-1652409586.9780962', 'S-1652409586.978147', 'S-1652409586.978198', 'S-1652409586.978249', 'S-1652409586.9783008', 'S-1652409586.9783528', 'S-1652409586.978404', 'S-1652409586.978455', 'S-1652409586.978506', 'S-1652409586.9785569', 'S-1652409586.9786088', 'S-1652409586.978666', 'S-1652409586.978718', 'S-1652409586.9787688', 'S-1652409586.978822', 'S-1652409586.978873', 'S-1652409586.978925', 'S-1652409586.978976', 'S-1652409586.979027', 'S-1652409586.979079']","['T-1652409586.995372', 'T-1652409586.995424', 'T-1652409586.995476', 'T-1652409586.995528', 'T-1652409586.99558', 'T-1652409586.9956322', 'T-1652409586.9956841', 'T-1652409586.9957361', 'T-1652409586.995789', 'T-1652409586.995841', 'T-1652409586.995894', 'T-1652409586.995945', 'T-1652409586.995997', 'T-1652409586.99605', 'T-1652409586.9961011', 'T-1652409586.996154', 'T-1652409586.996205', 'T-1652409586.996258', 'T-1652409586.99631', 'T-1652409586.996362']",03:40:04
7,03:40:04,1,2,1,4,"['D-1652409586.9683042', 'D-1652409586.9683561', 'D-1652409586.968408', 'D-1652409586.968461', 'D-1652409586.968513', 'D-1652409586.968565', 'D-1652409586.968618', 'D-1652409586.96867', 'D-1652409586.9687219', 'D-1652409586.9687748', 'D-1652409586.968826', 'D-1652409586.968877', 'D-1652409586.96893', 'D-1652409586.968982', 'D-1652409586.969032', 'D-1652409586.9690838', 'D-1652409586.969135', 'D-1652409586.969187', 'D-1652409586.969239', 'D-1652409586.969291', 'D-1652409586.969343', 'D-1652409586.969394', 'D-1652409586.969446', 'D-1652409586.9694982', 'D-1652409586.969549']","['S-1652409586.97913', 'S-1652409586.979182', 'S-1652409586.979233', 'S-1652409586.979284', 'S-1652409586.979336', 'S-1652409586.979388', 'S-1652409586.9794402', 'S-1652409586.979491', 'S-1652409586.979549', 'S-1652409586.979601', 'S-1652409586.9796522', 'S-1652409586.979703', 'S-1652409586.979755', 'S-1652409586.979806', 'S-1652409586.979858', 'S-1652409586.97991', 'S-1652409586.9799612', 'S-1652409586.9800131', 'S-1652409586.980064', 'S-1652409586.980118', 'S-1652409586.980169', 'S-1652409586.980221', 'S-1652409586.980272', 'S-1652409586.980324', 'S-1652409586.980376']","['T-1652409586.996415', 'T-1652409586.9964669', 'T-1652409586.9965281', 'T-1652409586.996591', 'T-1652409586.996646', 'T-1652409586.9966989', 'T-1652409586.9967518', 'T-1652409586.996804', 'T-1652409586.996856', 'T-1652409586.996908', 'T-1652409586.99696', 'T-1652409586.997013', 'T-1652409586.997065', 'T-1652409586.997118', 'T-1652409586.997171', 'T-1652409586.997223']",03:40:05
8,03:40:04,0,2,1,3,"['D-1652409586.969601', 'D-1652409586.969653', 'D-1652409586.9697049', 'D-1652409586.9697568', 'D-1652409586.9698088', 'D-1652409586.969861', 'D-1652409586.969912', 'D-1652409586.969963', 'D-1652409586.970015', 'D-1652409586.970067', 'D-1652409586.970119', 'D-1652409586.970171']","['S-1652409586.980427', 'S-1652409586.980479', 'S-1652409586.98053', 'S-1652409586.980582', 'S-1652409586.9806342', 'S-1652409586.9806862', 'S-1652409586.9807382', 'S-1652409586.980789', 'S-1652409586.980841', 'S-1652409586.980893', 'S-1652409586.980944', 'S-1652409586.9809961']","['T-1652409586.9972758', 'T-1652409586.9973278', 'T-1652409586.9973812', 'T-1652409586.9974332', 'T-1652409586.9974852', 'T-1652409586.9975371', 'T-1652409586.9975889', 'T-1652409586.997706', 'T-1652409586.9977758', 'T-1652409586.997835', 'T-1652409586.99789', 'T-1652409586.997944']",03:40:05
